HKEX/00001,Ckh Holdings (00001)
HKEX/00002,Clp Holdings (00002)
HKEX/00003,Hk China Gas (00003)
HKEX/00004,Wharf Holdings (00004)
HKEX/00005,Hsbc Holdings (00005)
HKEX/00006,Power Assets (00006)
HKEX/00007,Hoifu Energy (00007)
HKEX/00008,Pccw (00008)
HKEX/00009,Nine Express (00009)
HKEX/00010,Hang Lung Group (00010)
HKEX/00011,Hang Seng Bank (00011)
HKEX/00012,Henderson Land (00012)
HKEX/00013,Hutchison (00013)
HKEX/00014,Hysan Dev (00014)
HKEX/00015,Vantage Int'l (00015)
HKEX/00016,Shk Ppt (00016)
HKEX/00017,New World Dev (00017)
HKEX/00018,Oriental Press (00018)
HKEX/00019,Swire Pacific A (00019)
HKEX/00020,Wheelock (00020)
HKEX/00021,Great Chi Ppt (00021)
HKEX/00022,Mexan (00022)
HKEX/00023,Bank Of E Asia (00023)
HKEX/00024,Burwill (00024)
HKEX/00025,Chevalier Int'l (00025)
HKEX/00026,China Motor Bus (00026)
HKEX/00027,Galaxy Ent (00027)
HKEX/00028,Tian An (00028)
HKEX/00029,Dynamic Hold (00029)
HKEX/00030,Ban Loong Hold (00030)
HKEX/00031,China Aerospace (00031)
HKEX/00032,Cross-har(hold) (00032)
HKEX/00033,Asia Inv Fin (00033)
HKEX/00034,Kowloon Dev (00034)
HKEX/00035,Fe Consort Intl (00035)
HKEX/00036,Fe Hldgs Intl (00036)
HKEX/00037,Fe Hotels (00037)
HKEX/00039,Ch Beidahuang (00039)
HKEX/00038,First Tractor (00038)
HKEX/00040,Gold Peak (00040)
HKEX/00041,Great Eagle H (00041)
HKEX/00042,Ne Electric (00042)
HKEX/00043,C.p. Pokphand (00043)
HKEX/00044,Haeco (00044)
HKEX/00045,Hks Hotels (00045)
HKEX/00046,Computer Tech (00046)
HKEX/00047,Hop Hing Group (00047)
HKEX/00050,Hk Ferry (hold) (00050)
HKEX/00051,Harbour Centre (00051)
HKEX/00052,Fairwood Hold (00052)
HKEX/00053,Guoco Group (00053)
HKEX/00054,Hopewell Hold (00054)
HKEX/00055,Neway Group (00055)
HKEX/00057,Chen Hsong Hold (00057)
HKEX/00056,Allied Ppt (hk) (00056)
HKEX/00058,Sunway Int'l (00058)
HKEX/00059,Skyfame Realty (00059)
HKEX/00060,Hk Food Inv (00060)
HKEX/00061,North Asia Res (00061)
HKEX/00062,Transport Int'l (00062)
HKEX/00063,China Graphene (00063)
HKEX/00064,Get Nice (00064)
HKEX/00065,Grand Ocean Ar (00065)
HKEX/00066,Mtr Corporation (00066)
HKEX/00067,Lumena Newmat (00067)
HKEX/00068,Lee Hing (00068)
HKEX/00069,Shangri-la Asia (00069)
HKEX/00070,Neptune Group (00070)
HKEX/00071,Miramar Hotel (00071)
HKEX/00072,Modern Media (00072)
HKEX/00073,Asian Citrus (00073)
HKEX/00074,Great Wall Tech (00074)
HKEX/00075,Y.t. Realty (00075)
HKEX/00077,Ams Transport (00077)
HKEX/00076,South Sea Petro (00076)
HKEX/00078,Regal Int'l (00078)
HKEX/00079,Century Legend (00079)
HKEX/00081,Ch Ovs G Oceans (00081)
HKEX/00082,V1 Group (00082)
HKEX/00083,Sino Land (00083)
HKEX/00084,Stelux Holdings (00084)
HKEX/00085,China Electron (00085)
HKEX/00086,Sun Hung Kai Co (00086)
HKEX/00087,Swire Pacific B (00087)
HKEX/00088,Tai Cheung Hold (00088)
HKEX/00089,Tai Sang Land (00089)
HKEX/00090,Amber Energy (00090)
HKEX/00091,Int'l Std Res (00091)
HKEX/00092,Champion Tech (00092)
HKEX/00093,Termbray Ind (00093)
HKEX/00094,Greenheart Gp (00094)
HKEX/00095,Lvgem China (00095)
HKEX/00096,Yusei (00096)
HKEX/00097,Henderson Inv (00097)
HKEX/00098,Xingfa Alum (00098)
HKEX/00099,Wong's Int'l (00099)
HKEX/00100,Clear Media (00100)
HKEX/00101,Hang Lung Ppt (00101)
HKEX/00102,Summit Ascent (00102)
HKEX/00103,Shougang Cent (00103)
HKEX/00105,Asso Int Hotels (00105)
HKEX/00106,Landsea Ppt (00106)
HKEX/00107,Sichuan Express (00107)
HKEX/00108,Gr Properties (00108)
HKEX/00109,Goodresources (00109)
HKEX/00110,China Fortune (00110)
HKEX/00111,Cinda Intl Hldg (00111)
HKEX/00112,Lt Comm Realest (00112)
HKEX/00113,Dickson Concept (00113)
HKEX/00114,Herald Hold (00114)
HKEX/00115,Grand Field Gp (00115)
HKEX/00117,Tianli Holdings (00117)
HKEX/00118,Cosmos Mach (00118)
HKEX/00119,Poly Property (00119)
HKEX/00120,Cosmopol Int'l (00120)
HKEX/00121,C.p. Lotus (00121)
HKEX/00122,Crocodile (00122)
HKEX/00123,Yuexiu Property (00123)
HKEX/00124,Gd Land (00124)
HKEX/00127,Chinese Est H (00127)
HKEX/00126,Carrianna (00126)
HKEX/00125,Sun Hing Vision (00125)
HKEX/00128,Enm Holdings (00128)
HKEX/00129,Asia Standard (00129)
HKEX/00130,Moiselle Int'l (00130)
HKEX/00131,Cheuk Nang Hold (00131)
HKEX/00132,China Inv Hold (00132)
HKEX/00136,Hengten Net (00136)
HKEX/00135,Kunlun Energy (00135)
HKEX/00137,Jinhui Holdings (00137)
HKEX/00138,Cct Fortis (00138)
HKEX/00139,Ch Soft Power (00139)
HKEX/00142,First Pacific (00142)
HKEX/00141,Great China (00141)
HKEX/00143,Global Tech (00143)
HKEX/00144,China Mer Port (00144)
HKEX/00145,Hk Bldg Loan (00145)
HKEX/00146,Tai Ping Carpet (00146)
HKEX/00147,Ib Settlement (00147)
HKEX/00148,Kingboard Chem (00148)
HKEX/00151,Want Want China (00151)
HKEX/00153,China Saite (00153)
HKEX/00154,Be Environment (00154)
HKEX/00155,China Solar (00155)
HKEX/00156,Lippo China Res (00156)
HKEX/00157,Natural Beauty (00157)
HKEX/00158,Melbourne Ent (00158)
HKEX/00159,Brockman Mining (00159)
HKEX/00160,Hon Kwok Land (00160)
HKEX/00161,Avic Ihl (00161)
HKEX/00162,Century Ginwa (00162)
HKEX/00163,Emperor Int'l (00163)
HKEX/00165,China Eb Ltd (00165)
HKEX/00164,China Baoli Tec (00164)
HKEX/00166,Newtimes Energy (00166)
HKEX/00167,Idt Int'l (00167)
HKEX/00168,Tsingtao Brew (00168)
HKEX/00169,Wanda Hotel Dev (00169)
HKEX/00171,Silver Grant (00171)
HKEX/00172,Goldbond Group (00172)
HKEX/00173,K. Wah Int'l (00173)
HKEX/00174,Gemini Inv (00174)
HKEX/00175,Geely Auto (00175)
HKEX/00176,United Pacific (00176)
HKEX/00177,Jiangsu Express (00177)
HKEX/00178,Sa Sa Int'l (00178)
HKEX/00179,Johnson Elec H (00179)
HKEX/00180,Kader Holdings (00180)
HKEX/00181,Fujian Holdings (00181)
HKEX/00182,Concord Ne (00182)
HKEX/00183,Winfull Gp (00183)
HKEX/00184,Keck Seng Inv (00184)
HKEX/00185,Zh Int'l Hold (00185)
HKEX/00186,Grande Holdings (00186)
HKEX/00187,Jingcheng Mac (00187)
HKEX/00188,Sunwah Kingsway (00188)
HKEX/00189,Dongyue Group (00189)
HKEX/00190,Hkc (holdings) (00190)
HKEX/00191,Lai Sun Int'l (00191)
HKEX/00193,Capital Estate (00193)
HKEX/00194,Liu Chong Hing (00194)
HKEX/00195,L'sea Resources (00195)
HKEX/00196,Honghua Group (00196)
HKEX/00197,Heng Tai (00197)
HKEX/00198,Smi Holdings (00198)
HKEX/00199,Itc Properties (00199)
HKEX/00200,Melco Int'l Dev (00200)
HKEX/00201,Magnificent (00201)
HKEX/00202,Everchina Int'l (00202)
HKEX/00205,Seec Media (00205)
HKEX/00206,Tsc Group (00206)
HKEX/00207,Joy City Ppt (00207)
HKEX/00208,Polytec Asset (00208)
HKEX/00209,Winshine Sci (00209)
HKEX/00210,Daphne Int'l (00210)
HKEX/00211,Styland Hold (00211)
HKEX/00212,Nanyang Hold (00212)
HKEX/00213,National Elec H (00213)
HKEX/00214,Asia Orient (00214)
HKEX/00215,Hutchtel Hk (00215)
HKEX/00216,Chinney Inv (00216)
HKEX/00217,China Chengtong (00217)
HKEX/00218,Shenwanhongyuan (00218)
HKEX/00219,Shunho Property (00219)
HKEX/00220,U-presid China (00220)
HKEX/00221,Easy One Fin (00221)
HKEX/00222,Min Xin Hold (00222)
HKEX/00223,Elife Hldgs (00223)
HKEX/00224,Pioneer Global (00224)
HKEX/00225,Pokfulam (00225)
HKEX/00227,First Shanghai (00227)
HKEX/00226,Lippo (00226)
HKEX/00228,China Energy (00228)
HKEX/00229,Raymond Ind (00229)
HKEX/00230,Minmetals Land (00230)
HKEX/00231,Ping An Sec Gp (00231)
HKEX/00232,Avic Int'l (00232)
HKEX/00233,My Medicare (00233)
HKEX/00234,New Century Gp (00234)
HKEX/00235,China Strategic (00235)
HKEX/00236,San Miguel Hk (00236)
HKEX/00237,Safety Godown (00237)
HKEX/00238,Evergreen Int (00238)
HKEX/00239,Pak Fah Yeow (00239)
HKEX/00240,Build King Hold (00240)
HKEX/00241,Ali Health (00241)
HKEX/00242,Shun Tak Hold (00242)
HKEX/00243,Qpl Int'l (00243)
HKEX/00244,Sincere (00244)
HKEX/00245,Cn Minsheng Fin (00245)
HKEX/00246,Realgold Mining (00246)
HKEX/00247,Tst Properties (00247)
HKEX/00248,Hkc Int'l Hold (00248)
HKEX/00250,Sino-i Tech (00250)
HKEX/00251,Sea Holdings (00251)
HKEX/00252,Se Asia Ppt (00252)
HKEX/00253,Shunho Holdings (00253)
HKEX/00254,Nur Holdings (00254)
HKEX/00256,Citychamp (00256)
HKEX/00255,Lung Kee (00255)
HKEX/00257,China Eb Int'l (00257)
HKEX/00258,Tomson Group (00258)
HKEX/00259,Yeebo (int'l H) (00259)
HKEX/00260,Avic Joy Hldg (00260)
HKEX/00261,Cct Land (00261)
HKEX/00262,Deson Dev Int'l (00262)
HKEX/00263,Gt Group Hldg (00263)
HKEX/00264,Ascent Int'l (00264)
HKEX/00265,Orient Victory (00265)
HKEX/00266,Tian Teck Land (00266)
HKEX/00268,Kingdee Int'l (00268)
HKEX/00269,Crtg (00269)
HKEX/00270,Guangdong Inv (00270)
HKEX/00267,Citic (00267)
HKEX/00271,Dan Form Hold (00271)
HKEX/00272,Shui On Land (00272)
HKEX/00273,Mason Fin (00273)
HKEX/00274,C Billion Res (00274)
HKEX/00275,Master Glory Gp (00275)
HKEX/00276,Mongolia Energy (00276)
HKEX/00277,Tern Properties (00277)
HKEX/00278,Wah Ha Realty (00278)
HKEX/00279,Freeman Fintech (00279)
HKEX/00280,King Fook Hold (00280)
HKEX/00281,Rivera (hold) (00281)
HKEX/00282,Next Digital (00282)
HKEX/00283,Goldin Ppt (00283)
HKEX/00286,Cs Health (00286)
HKEX/00285,Byd Electronic (00285)
HKEX/00287,Winfair Inv (00287)
HKEX/00289,Wing On Co (00289)
HKEX/00290,C Fortune Fin (00290)
HKEX/00291,China Res Beer (00291)
HKEX/00292,Asia Std Hotel (00292)
HKEX/00293,Cathay Pac Air (00293)
HKEX/00294,Yangtzekiang (00294)
HKEX/00295,Kong Sun Hold (00295)
HKEX/00296,Emperor E Hotel (00296)
HKEX/00297,Sinofert (00297)
HKEX/00298,Chuang's China (00298)
HKEX/00299,New Sports (00299)
HKEX/00300,Kunming Machine (00300)
HKEX/00302,Wing Hang Bank (00302)
HKEX/00303,Vtech Holdings (00303)
HKEX/00305,Wuling Motors (00305)
HKEX/00306,Kwoon Chung Bus (00306)
HKEX/00307,Up Energy Dev (00307)
HKEX/00308,China Travel Hk (00308)
HKEX/00309,Xh News Media (00309)
HKEX/00311,Luen Thai (00311)
HKEX/00312,Shirble Store (00312)
HKEX/00313,Richly Field (00313)
HKEX/00315,Smartone Tele (00315)
HKEX/00316,Ooil (00316)
HKEX/00317,Comec (00317)
HKEX/00318,Vongroup (00318)
HKEX/00319,China Metal (00319)
HKEX/00320,Computime (00320)
HKEX/00321,Texwinca Hold (00321)
HKEX/00322,Tingyi (00322)
HKEX/00323,Maanshan Iron (00323)
HKEX/00326,China Star Ent (00326)
HKEX/00327,Pax Global (00327)
HKEX/00328,Alco Holdings (00328)
HKEX/00329,Dragonite Int'l (00329)
HKEX/00330,Esprit Holdings (00330)
HKEX/00332,Yuanheng Gas (00332)
HKEX/00333,Top Form Int'l (00333)
HKEX/00334,Tcl Display (00334)
HKEX/00335,Upbest Group (00335)
HKEX/00336,Huabao Intl (00336)
HKEX/00337,Greenland Hk (00337)
HKEX/00338,Shanghai Pechem (00338)
HKEX/00340,China Mining (00340)
HKEX/00341,Cafe De Coral H (00341)
HKEX/00342,Newocean Energy (00342)
HKEX/00343,Culturecom Hold (00343)
HKEX/00345,Vitasoy Int'l (00345)
HKEX/00346,Yanchang Petro (00346)
HKEX/00347,Angang Steel (00347)
HKEX/00348,Chinahealthwise (00348)
HKEX/00350,Jingwei Textile (00350)
HKEX/00351,Asia Energy Log (00351)
HKEX/00352,Fortune Sun (00352)
HKEX/00353,Energy Intinv (00353)
HKEX/00354,Chinasoft Int'l (00354)
HKEX/00355,Century C Int'l (00355)
HKEX/00357,Hna Infra (00357)
HKEX/00358,Jiangxi Copper (00358)
HKEX/00359,Haisheng Juice (00359)
HKEX/00360,New Focus Auto (00360)
HKEX/00361,Sino Golf Hold (00361)
HKEX/00362,C Zenith Chem (00362)
HKEX/00363,Shanghai Ind H (00363)
HKEX/00364,Ping Shan Tea (00364)
HKEX/00365,Unis Holdings (00365)
HKEX/00366,Luks Group (vn) (00366)
HKEX/00367,Chuang's Int'l (00367)
HKEX/00368,Sinotrans Ship (00368)
HKEX/00369,Wing Tai Ppt (00369)
HKEX/00370,China Best (00370)
HKEX/00371,Bj Ent Water (00371)
