id,dataset_code,database_code,name,description,refreshed_at,newest_available_date,oldest_available_date,column_names,frequency,type,premium,database_id
10048178,00001,HKEX,Ckh Holdings (00001),Stock Prices for Ckh Holdings from the Hong Kong Stock Exchange. Currency: HKD,2017-07-01 00:59:56 UTC,2017-06-30,2014-02-21,"[""Date"", ""Nominal Price"", ""Net Change"", ""Change (%)"", ""Bid"", ""Ask"", ""P/E(x)"", ""High"", ""Low"", ""Previous Close"", ""Share Volume ('000)"", ""Turnover ('000)"", ""Lot Size""]",daily,Time Series,false,5895
10048328,00002,HKEX,Clp Holdings (00002),Stock Prices for Clp Holdings from the Hong Kong Stock Exchange. Currency: HKD,2017-07-01 00:59:56 UTC,2017-06-30,2014-02-21,"[""Date"", ""Nominal Price"", ""Net Change"", ""Change (%)"", ""Bid"", ""Ask"", ""P/E(x)"", ""High"", ""Low"", ""Previous Close"", ""Share Volume ('000)"", ""Turnover ('000)"", ""Lot Size""]",daily,Time Series,false,5895
10048329,00003,HKEX,Hk China Gas (00003),Stock Prices for Hk China Gas from the Hong Kong Stock Exchange. Currency: HKD,2017-07-01 00:59:56 UTC,2017-06-30,2014-02-21,"[""Date"", ""Nominal Price"", ""Net Change"", ""Change (%)"", ""Bid"", ""Ask"", ""P/E(x)"", ""High"", ""Low"", ""Previous Close"", ""Share Volume ('000)"", ""Turnover ('000)"", ""Lot Size""]",daily,Time Series,false,5895
10048330,00004,HKEX,Wharf Holdings (00004),Stock Prices for Wharf Holdings from the Hong Kong Stock Exchange. Currency: HKD,2017-07-01 00:59:56 UTC,2017-06-30,2014-02-21,"[""Date"", ""Nominal Price"", ""Net Change"", ""Change (%)"", ""Bid"", ""Ask"", ""P/E(x)"", ""High"", ""Low"", ""Previous Close"", ""Share Volume ('000)"", ""Turnover ('000)"", ""Lot Size""]",daily,Time Series,false,5895
10048331,00005,HKEX,Hsbc Holdings (00005),Stock Prices for Hsbc Holdings from the Hong Kong Stock Exchange. Currency: HKD,2017-07-01 00:59:56 UTC,2017-06-30,2014-02-21,"[""Date"", ""Nominal Price"", ""Net Change"", ""Change (%)"", ""Bid"", ""Ask"", ""P/E(x)"", ""High"", ""Low"", ""Previous Close"", ""Share Volume ('000)"", ""Turnover ('000)"", ""Lot Size""]",daily,Time Series,false,5895
10048332,00006,HKEX,Power Assets (00006),Stock Prices for Power Assets from the Hong Kong Stock Exchange. Currency: HKD,2017-07-01 00:59:56 UTC,2017-06-30,2014-02-21,"[""Date"", ""Nominal Price"", ""Net Change"", ""Change (%)"", ""Bid"", ""Ask"", ""P/E(x)"", ""High"", ""Low"", ""Previous Close"", ""Share Volume ('000)"", ""Turnover ('000)"", ""Lot Size""]",daily,Time Series,false,5895
10048333,00007,HKEX,Hoifu Energy (00007),Stock Prices for Hoifu Energy from the Hong Kong Stock Exchange. Currency: HKD,2017-07-01 00:59:56 UTC,2017-06-30,2014-02-21,"[""Date"", ""Nominal Price"", ""Net Change"", ""Change (%)"", ""Bid"", ""Ask"", ""P/E(x)"", ""High"", ""Low"", ""Previous Close"", ""Share Volume ('000)"", ""Turnover ('000)"", ""Lot Size""]",daily,Time Series,false,5895
10048334,00008,HKEX,Pccw (00008),Stock Prices for Pccw from the Hong Kong Stock Exchange. Currency: HKD,2017-07-01 00:59:56 UTC,2017-06-30,2014-02-21,"[""Date"", ""Nominal Price"", ""Net Change"", ""Change (%)"", ""Bid"", ""Ask"", ""P/E(x)"", ""High"", ""Low"", ""Previous Close"", ""Share Volume ('000)"", ""Turnover ('000)"", ""Lot Size""]",daily,Time Series,false,5895
10048335,00009,HKEX,Nine Express (00009),Stock Prices for Nine Express from the Hong Kong Stock Exchange. Currency: HKD,2017-07-01 00:59:56 UTC,2017-06-30,2014-02-21,"[""Date"", ""Nominal Price"", ""Net Change"", ""Change (%)"", ""Bid"", ""Ask"", ""P/E(x)"", ""High"", ""Low"", ""Previous Close"", ""Share Volume ('000)"", ""Turnover ('000)"", ""Lot Size""]",daily,Time Series,false,5895
10048336,00010,HKEX,Hang Lung Group (00010),Stock Prices for Hang Lung Group from the Hong Kong Stock Exchange. Currency: HKD,2017-07-01 00:59:56 UTC,2017-06-30,2014-02-21,"[""Date"", ""Nominal Price"", ""Net Change"", ""Change (%)"", ""Bid"", ""Ask"", ""P/E(x)"", ""High"", ""Low"", ""Previous Close"", ""Share Volume ('000)"", ""Turnover ('000)"", ""Lot Size""]",daily,Time Series,false,5895
10048337,00011,HKEX,Hang Seng Bank (00011),Stock Prices for Hang Seng Bank from the Hong Kong Stock Exchange. Currency: HKD,2017-07-01 00:59:56 UTC,2017-06-30,2014-02-21,"[""Date"", ""Nominal Price"", ""Net Change"", ""Change (%)"", ""Bid"", ""Ask"", ""P/E(x)"", ""High"", ""Low"", ""Previous Close"", ""Share Volume ('000)"", ""Turnover ('000)"", ""Lot Size""]",daily,Time Series,false,5895
10048338,00012,HKEX,Henderson Land (00012),Stock Prices for Henderson Land from the Hong Kong Stock Exchange. Currency: HKD,2017-07-01 00:59:56 UTC,2017-06-30,2014-02-21,"[""Date"", ""Nominal Price"", ""Net Change"", ""Change (%)"", ""Bid"", ""Ask"", ""P/E(x)"", ""High"", ""Low"", ""Previous Close"", ""Share Volume ('000)"", ""Turnover ('000)"", ""Lot Size""]",daily,Time Series,false,5895
10048339,00013,HKEX,Hutchison (00013),Stock Prices for Hutchison from the Hong Kong Stock Exchange. Currency: ,2015-06-02 08:45:50 UTC,2015-06-02,2014-02-21,"[""Date"", ""Nominal Price"", ""Net Change"", ""Change (%)"", ""Bid"", ""Ask"", ""P/E(x)"", ""High"", ""Low"", ""Previous Close"", ""Share Volume ('000)"", ""Turnover ('000)"", ""Lot Size""]",daily,Time Series,false,5895
10048340,00014,HKEX,Hysan Dev (00014),Stock Prices for Hysan Dev from the Hong Kong Stock Exchange. Currency: HKD,2017-07-01 00:59:56 UTC,2017-06-30,2014-02-21,"[""Date"", ""Nominal Price"", ""Net Change"", ""Change (%)"", ""Bid"", ""Ask"", ""P/E(x)"", ""High"", ""Low"", ""Previous Close"", ""Share Volume ('000)"", ""Turnover ('000)"", ""Lot Size""]",daily,Time Series,false,5895
10048341,00015,HKEX,Vantage Int'l (00015),Stock Prices for Vantage Int'l from the Hong Kong Stock Exchange. Currency: HKD,2017-07-01 00:59:56 UTC,2017-06-30,2014-02-21,"[""Date"", ""Nominal Price"", ""Net Change"", ""Change (%)"", ""Bid"", ""Ask"", ""P/E(x)"", ""High"", ""Low"", ""Previous Close"", ""Share Volume ('000)"", ""Turnover ('000)"", ""Lot Size""]",daily,Time Series,false,5895
10048342,00016,HKEX,Shk Ppt (00016),Stock Prices for Shk Ppt from the Hong Kong Stock Exchange. Currency: HKD,2017-07-01 00:59:56 UTC,2017-06-30,2014-02-21,"[""Date"", ""Nominal Price"", ""Net Change"", ""Change (%)"", ""Bid"", ""Ask"", ""P/E(x)"", ""High"", ""Low"", ""Previous Close"", ""Share Volume ('000)"", ""Turnover ('000)"", ""Lot Size""]",daily,Time Series,false,5895
10048343,00017,HKEX,New World Dev (00017),Stock Prices for New World Dev from the Hong Kong Stock Exchange. Currency: HKD,2017-07-01 00:59:56 UTC,2017-06-30,2014-02-21,"[""Date"", ""Nominal Price"", ""Net Change"", ""Change (%)"", ""Bid"", ""Ask"", ""P/E(x)"", ""High"", ""Low"", ""Previous Close"", ""Share Volume ('000)"", ""Turnover ('000)"", ""Lot Size""]",daily,Time Series,false,5895
10048345,00018,HKEX,Oriental Press (00018),Stock Prices for Oriental Press from the Hong Kong Stock Exchange. Currency: HKD,2017-07-01 00:59:56 UTC,2017-06-30,2014-02-21,"[""Date"", ""Nominal Price"", ""Net Change"", ""Change (%)"", ""Bid"", ""Ask"", ""P/E(x)"", ""High"", ""Low"", ""Previous Close"", ""Share Volume ('000)"", ""Turnover ('000)"", ""Lot Size""]",daily,Time Series,false,5895
10048346,00019,HKEX,Swire Pacific A (00019),Stock Prices for Swire Pacific A from the Hong Kong Stock Exchange. Currency: HKD,2017-07-01 00:59:56 UTC,2017-06-30,2014-02-21,"[""Date"", ""Nominal Price"", ""Net Change"", ""Change (%)"", ""Bid"", ""Ask"", ""P/E(x)"", ""High"", ""Low"", ""Previous Close"", ""Share Volume ('000)"", ""Turnover ('000)"", ""Lot Size""]",daily,Time Series,false,5895
10048348,00020,HKEX,Wheelock (00020),Stock Prices for Wheelock from the Hong Kong Stock Exchange. Currency: HKD,2017-07-01 00:59:56 UTC,2017-06-30,2014-02-21,"[""Date"", ""Nominal Price"", ""Net Change"", ""Change (%)"", ""Bid"", ""Ask"", ""P/E(x)"", ""High"", ""Low"", ""Previous Close"", ""Share Volume ('000)"", ""Turnover ('000)"", ""Lot Size""]",daily,Time Series,false,5895
10048350,00021,HKEX,Great Chi Ppt (00021),Stock Prices for Great Chi Ppt from the Hong Kong Stock Exchange. Currency: HKD,2017-07-01 00:59:56 UTC,2017-06-30,2014-02-21,"[""Date"", ""Nominal Price"", ""Net Change"", ""Change (%)"", ""Bid"", ""Ask"", ""P/E(x)"", ""High"", ""Low"", ""Previous Close"", ""Share Volume ('000)"", ""Turnover ('000)"", ""Lot Size""]",daily,Time Series,false,5895
10048353,00022,HKEX,Mexan (00022),Stock Prices for Mexan from the Hong Kong Stock Exchange. Currency: HKD,2017-07-01 00:59:57 UTC,2017-06-30,2014-02-21,"[""Date"", ""Nominal Price"", ""Net Change"", ""Change (%)"", ""Bid"", ""Ask"", ""P/E(x)"", ""High"", ""Low"", ""Previous Close"", ""Share Volume ('000)"", ""Turnover ('000)"", ""Lot Size""]",daily,Time Series,false,5895
10048359,00023,HKEX,Bank Of E Asia (00023),Stock Prices for Bank Of E Asia from the Hong Kong Stock Exchange. Currency: HKD,2017-07-01 00:59:56 UTC,2017-06-30,2014-02-21,"[""Date"", ""Nominal Price"", ""Net Change"", ""Change (%)"", ""Bid"", ""Ask"", ""P/E(x)"", ""High"", ""Low"", ""Previous Close"", ""Share Volume ('000)"", ""Turnover ('000)"", ""Lot Size""]",daily,Time Series,false,5895
10048366,00024,HKEX,Burwill (00024),Stock Prices for Burwill from the Hong Kong Stock Exchange. Currency: HKD,2017-07-01 00:59:56 UTC,2017-06-30,2014-02-21,"[""Date"", ""Nominal Price"", ""Net Change"", ""Change (%)"", ""Bid"", ""Ask"", ""P/E(x)"", ""High"", ""Low"", ""Previous Close"", ""Share Volume ('000)"", ""Turnover ('000)"", ""Lot Size""]",daily,Time Series,false,5895
10048369,00025,HKEX,Chevalier Int'l (00025),Stock Prices for Chevalier Int'l from the Hong Kong Stock Exchange. Currency: HKD,2017-07-01 00:59:57 UTC,2017-06-30,2014-02-21,"[""Date"", ""Nominal Price"", ""Net Change"", ""Change (%)"", ""Bid"", ""Ask"", ""P/E(x)"", ""High"", ""Low"", ""Previous Close"", ""Share Volume ('000)"", ""Turnover ('000)"", ""Lot Size""]",daily,Time Series,false,5895
10048372,00026,HKEX,China Motor Bus (00026),Stock Prices for China Motor Bus from the Hong Kong Stock Exchange. Currency: HKD,2017-07-01 00:59:56 UTC,2017-06-30,2014-02-21,"[""Date"", ""Nominal Price"", ""Net Change"", ""Change (%)"", ""Bid"", ""Ask"", ""P/E(x)"", ""High"", ""Low"", ""Previous Close"", ""Share Volume ('000)"", ""Turnover ('000)"", ""Lot Size""]",daily,Time Series,false,5895
10048374,00027,HKEX,Galaxy Ent (00027),Stock Prices for Galaxy Ent from the Hong Kong Stock Exchange. Currency: HKD,2017-07-01 00:59:56 UTC,2017-06-30,2014-02-21,"[""Date"", ""Nominal Price"", ""Net Change"", ""Change (%)"", ""Bid"", ""Ask"", ""P/E(x)"", ""High"", ""Low"", ""Previous Close"", ""Share Volume ('000)"", ""Turnover ('000)"", ""Lot Size""]",daily,Time Series,false,5895
